id,title,description,creator,year,completeness,country,dataProvider,edmPreview,imageWidth,imageHeight,type
/2024904/https___www_topfoto_co_uk_asset_3026846,,,"http://www.wikidata.org/entity/Q110975090, TopFoto",,0,United Kingdom,TopFoto,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fwww.topfoto.co.uk%2FEuropeana%2FPhotography18391939%2FEU020087.jpg&type=IMAGE,0,0,IMAGE
/22/_99210,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099210_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99213,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099213_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99212,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099212_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99214,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099214_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99215,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099215_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99211,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099211_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99216,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099216_01.jpg&type=IMAGE,0,0,IMAGE
/951/Culturalia_1472f9a9_acd9_11d9_ae7e_0050fccf2e52,,,Bălan Viorica,,0,Romania,Moldova National Museum Complex,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fresource.culturalia.ro%2Fpublic%2F2000%2F01%2F01%2F_IS-CNM-validat-spre-import_2021_02%2520Februarie%25202021_OTILIA_Catalogator%2520Minola%2520Iutis%2520-%2520Octombrie_docpatv495%2FImagini%2F3780580FBCBD491C8DEE1B612376B0F5.tif&type=IMAGE,0,0,IMAGE
/2024904/https___www_topfoto_co_uk_asset_3024551,,,"TopFoto, http://www.wikidata.org/entity/Q110975090",,0,United Kingdom,TopFoto,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fwww.topfoto.co.uk%2FEuropeana%2FPhotography18391939%2FEU017747.jpg&type=IMAGE,0,0,IMAGE
/951/Culturalia_3c024986_d568_4bed_b0a4_034332100f19,,,"Rosenblut, Iosif",,0,Romania,National Museum of Art of Romania,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fresource.culturalia.ro%2Fpublic%2F2000%2F01%2F01%2F_B-MNAR_13%2520ianuarie%25202021_CRISTINA_GINGHINA_cristina%2520ginghina%2520ianuarie%2520docpatv4951%2FImagini%2F833B2BD0D0B74F55AA25AEA2AFEC4592.tif&type=IMAGE,0,0,IMAGE
/22/_2095,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_bovini_archive%2F003_010_002095_01.jpg&type=IMAGE,0,0,IMAGE
/22/_2160,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_bovini_archive%2F003_010_002160_01.jpg&type=IMAGE,0,0,IMAGE
/437/item_CBATDEAZMHMG6KC6KDWRORXFEBCH4FLF,,,,,0,Germany,Deutsche Fotothek,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf_ge_0009933.jpg&type=IMAGE,0,0,IMAGE
/22/_2217,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_bovini_archive%2F003_010_002217_01.jpg&type=IMAGE,0,0,IMAGE
/1190/INP_postcards_1074,,,,,0,Romania,"National Heritage Institute, Bucharest",https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fcartipostale.cimec.ro%2FColectia%2F9%2FSTOMFF_CP_18_0137_a_000998.jpg&type=IMAGE,0,0,IMAGE
/22/_2006,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_bovini_archive%2F003_010_002006_01.jpg&type=IMAGE,0,0,IMAGE
/22/_2166,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_bovini_archive%2F003_010_002166_01.jpg&type=IMAGE,0,0,IMAGE
/2048128/186596,,,,,0,Hungary,Balaton Museum,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fmandadb.hu%2Fmandadb%2Fwebimage%2F4%2F4%2F7%2F7%2F9%2F3%2Fwimage%2Fvizakna_lead.jpg&type=IMAGE,0,0,IMAGE
/2048047/Clasate_908d6e3218f74a21bb0e697eec5088a8,,,"Padina, Alexandru Moser",,0,Romania,National Museum of Art of Romania,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fresource.culturalia.ro%2Fimagini-clasate%2Fimagini43%2Fedc87e6e6e054cc9b630f00e893eacb0.jpg&type=IMAGE,0,0,IMAGE
/2048047/Clasate_b01a784bb6244491876e59a979b5b943,,,"Constantinescu, Ștefan",,0,Romania,National Museum of Art of Romania,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fresource.culturalia.ro%2Fimagini-clasate%2Fimagini60%2Fa7ae8181ce2d4e08b4b8f4dde71a5c79.jpg&type=IMAGE,0,0,IMAGE
/22/_99219,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099219_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99222,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099222_01.jpg&type=IMAGE,0,0,IMAGE
