path,mse,source,completeness,title,width,height,aspect_ratio,is_grayscale,jpeg_quality,mean_saturation,dynamic_range
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-97.jpg,0.4357045292854309,tzigara,0.0,,400.0,358.0,1.1173,0.0,65.0,54.02,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-20.jpg,0.6432279348373413,tzigara,0.0,,237.0,500.0,0.474,0.0,56.0,52.39,249.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-41.jpg,0.7304392457008362,tzigara,0.0,,400.0,298.0,1.3423,0.0,59.0,78.97,248.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-11.jpg,0.6557955741882324,tzigara,0.0,,400.0,297.0,1.3468,0.0,66.0,0.19,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-2.jpg,0.7207939624786377,tzigara,0.0,,390.0,500.0,0.78,0.0,68.0,0.15,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-13.jpg,0.8876747488975525,tzigara,0.0,,400.0,319.0,1.2539,0.0,63.0,26.23,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-57.jpg,0.4236114919185638,tzigara,0.0,,400.0,282.0,1.4184,0.0,72.0,8.06,244.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-59.jpg,0.3224085569381714,tzigara,0.0,,390.0,500.0,0.78,0.0,67.0,12.87,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-85.jpg,0.3341269493103027,tzigara,0.0,,400.0,266.0,1.5038,0.0,56.0,77.73,231.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-95.jpg,1.1077178716659546,tzigara,0.0,,367.0,500.0,0.734,0.0,68.0,1.9,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-33.jpg,1.0107241868972778,tzigara,0.0,,400.0,345.0,1.1594,0.0,58.0,0.1,248.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-17.jpg,0.921966314315796,tzigara,0.0,,400.0,484.0,0.8264,0.0,66.0,29.44,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-8.jpg,0.7506620287895203,tzigara,0.0,,400.0,286.0,1.3986,0.0,63.0,0.64,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-17.jpg,0.6548300981521606,tzigara,0.0,,373.0,500.0,0.746,0.0,63.0,13.88,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-22.jpg,0.8021175861358643,tzigara,0.0,,400.0,446.0,0.8969,0.0,63.0,3.85,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-35.jpg,0.4801469147205353,tzigara,0.0,,387.0,500.0,0.774,0.0,68.0,80.23,232.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-52.jpg,0.5282738208770752,tzigara,0.0,,400.0,205.0,1.9512,0.0,65.0,25.37,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-87.jpg,0.699449896812439,tzigara,0.0,,394.0,500.0,0.788,0.0,67.0,0.71,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-89.jpg,1.1805351972579956,tzigara,0.0,,400.0,499.0,0.8016,0.0,63.0,4.33,251.0
